playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2025,Igor Shesterkin,NYR,G,other,51,3005.0,11.52,7.0,137.0,6.58,14.0,14.71,3.0,75.11,61.0,1.25,0.0,43.13,45.0,22.79,33.0,9.7,56.0,31.0,15.0,2.34,3.82,5.36,2.0,3.0,2.0,35.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,all,51,181453.0,147.25,126.0,2948.0,110.34,188.0,382.7,264.0,1574.52,1425.0,48.41,1.0,849.04,759.0,606.05,809.0,137.87,1613.0,377.0,159.0,49.12,46.36,51.77,51.0,39.0,36.0,799.0,11.0,4.0
8478048,2025,Igor Shesterkin,NYR,G,5on5,51,151303.0,98.08,81.0,2318.0,78.62,135.0,307.67,215.0,1210.41,1097.0,39.01,1.0,650.98,580.0,483.79,646.0,94.11,1301.0,263.0,96.0,39.07,32.73,26.28,41.0,28.0,12.0,658.0,11.0,4.0
8478048,2025,Igor Shesterkin,NYR,G,4on5,51,14712.0,32.14,30.0,427.0,22.16,35.0,53.06,38.0,241.17,222.0,1.13,0.0,138.28,127.0,71.41,95.0,28.91,218.0,66.0,41.0,6.38,7.59,18.17,5.0,5.0,20.0,102.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,5on4,51,12433.0,4.99,6.0,52.0,2.24,4.0,5.31,6.0,38.52,37.0,6.95,0.0,11.33,3.0,23.94,30.0,4.63,27.0,15.0,7.0,1.05,1.98,1.97,2.0,2.0,2.0,3.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,other,28,3132.0,6.17,6.0,77.0,3.49,4.0,8.69,7.0,42.53,33.0,0.69,0.0,24.66,24.0,12.5,16.0,5.28,36.0,13.0,8.0,1.49,1.85,2.83,3.0,1.0,2.0,20.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,all,28,90032.0,75.31,67.0,1439.0,58.93,75.0,196.19,173.0,818.72,712.0,25.26,1.0,441.57,414.0,312.34,382.0,71.65,822.0,216.0,74.0,24.89,26.41,24.01,24.0,28.0,15.0,327.0,2.0,1.0
8481020,2025,Justus Annunen,NSH,G,5on5,28,71882.0,52.2,45.0,1137.0,42.31,56.0,159.67,143.0,640.17,552.0,20.22,1.0,346.11,331.0,254.24,300.0,50.32,674.0,154.0,48.0,20.09,18.37,13.75,17.0,23.0,5.0,261.0,2.0,1.0
8481020,2025,Justus Annunen,NSH,G,4on5,28,8254.0,15.24,15.0,199.0,12.23,15.0,25.3,23.0,118.55,109.0,0.58,0.0,65.39,58.0,33.67,45.0,14.36,95.0,45.0,16.0,2.72,5.62,6.9,3.0,4.0,8.0,43.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,5on4,28,6764.0,1.7,1.0,26.0,0.89,0.0,2.54,0.0,17.47,18.0,3.76,0.0,5.39,1.0,11.92,21.0,1.69,17.0,4.0,2.0,0.59,0.58,0.53,1.0,0.0,0.0,3.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,other,32,2137.0,5.38,1.0,72.0,3.15,4.0,8.35,9.0,40.75,35.0,1.07,0.0,24.29,28.0,12.49,13.0,4.01,35.0,15.0,5.0,1.24,1.76,2.38,0.0,0.0,1.0,17.0,0.0,0.0
