team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2025,NYR,NYR,Team Level,other,82,0.37,0.5,0.48,9317.0,147.43,29.0,11.85,27.83,5.36,87.16,45.8,26.89,29.0,26.89,120.0,87.0,78.0,285.0,27.0,14.0,4.0,24.0,0.0,82.0,60.0,93.0,180.0,10.0,22.0,122.0,12.0,12.0,33.0,115.0,50.0,42.0,4.38,5.95,18.67,5.0,8.0,14.0,285.0,207.0,207.0,17.0,3.58,3.2,3.2,29.38,29.38,27.37,160.55,48.56,11.79,26.96,6.15,82.55,47.99,43.99,48.56,43.99,139.0,85.0,63.0,287.0,38.0,24.0,3.0,10.0,0.0,84.0,68.0,101.0,186.0,7.0,14.0,96.0,15.0,8.0,26.0,105.0,49.0,70.0,4.08,5.99,38.49,3.0,5.0,30.0,287.0,224.0,224.0,11.0,3.44,7.77,7.12,44.88,44.88,42.6
NYR,2025,NYR,NYR,Team Level,all,82,0.47,0.49,0.48,298511.0,2400.51,237.2,170.54,578.89,82.73,1319.32,918.31,226.06,237.69,226.56,2066.0,1241.0,1332.0,4639.0,235.0,260.0,28.0,426.0,4.0,1204.0,1178.0,1831.0,3072.0,287.0,639.0,2451.0,2112.0,366.0,1233.0,2428.0,619.0,260.0,71.11,75.24,90.86,91.0,78.0,66.0,4626.88,3307.0,3301.65,592.0,38.57,54.41,54.49,221.28,221.7,215.28,2638.95,268.44,183.75,636.7,89.49,1418.37,1012.25,252.87,269.95,254.3,2364.0,1245.0,1291.0,4900.0,249.0,306.0,43.0,430.0,3.0,1298.0,1323.0,2115.0,3360.0,251.0,563.0,2045.0,1611.0,362.0,1224.0,2675.0,640.0,294.0,79.42,78.93,110.1,86.0,79.0,84.0,4936.35,3609.0,3637.64,620.0,41.18,66.94,67.31,242.32,243.6,236.42
NYR,2025,NYR,NYR,Team Level,5on5,82,0.48,0.49,0.48,245786.0,1855.79,154.2,123.82,471.74,64.03,1017.49,734.72,148.52,154.69,149.01,1607.0,959.0,1117.0,3683.0,154.0,205.0,19.0,349.0,4.0,936.0,918.0,1453.0,2412.0,263.0,586.0,1905.0,2013.0,302.0,1075.0,1960.0,461.0,145.0,57.18,55.77,41.26,78.0,61.0,15.0,3670.88,2566.0,2560.65,532.0,25.78,41.23,41.31,138.67,139.09,136.85,2028.15,163.73,131.88,515.42,68.36,1093.2,808.4,157.52,165.23,158.95,1805.0,976.0,1073.0,3854.0,156.0,214.0,23.0,352.0,3.0,1004.0,1052.0,1649.0,2625.0,224.0,506.0,1581.0,1540.0,327.0,1077.0,2162.0,466.0,153.0,63.99,58.03,41.71,72.0,60.0,24.0,3890.35,2781.0,2809.64,563.0,27.38,41.85,42.17,148.93,150.21,147.77
NYR,2025,NYR,NYR,Team Level,4on5,82,0.09,0.1,0.12,23223.0,53.52,4.9,2.78,8.1,1.72,16.82,35.68,4.74,4.9,4.74,56.0,14.0,8.0,78.0,5.0,1.0,0.0,4.0,0.0,13.0,47.0,51.0,65.0,9.0,21.0,207.0,70.0,29.0,54.0,47.0,17.0,6.0,1.26,2.1,1.54,2.0,2.0,1.0,78.0,70.0,70.0,39.0,0.64,0.25,0.25,5.28,5.28,5.17,389.69,48.89,36.66,85.84,13.11,224.61,116.87,44.49,48.89,44.49,361.0,165.0,147.0,673.0,47.0,62.0,16.0,61.0,0.0,205.0,151.0,314.0,479.0,12.0,25.0,219.0,21.0,6.0,71.0,362.0,104.0,60.0,9.77,12.16,26.95,8.0,11.0,28.0,673.0,526.0,526.0,4.0,9.6,16.09,16.79,41.69,41.69,39.3
NYR,2025,NYR,NYR,Team Level,5on4,82,0.87,0.87,0.86,20185.0,343.78,49.1,32.08,71.22,11.63,197.85,102.11,45.93,49.1,45.93,283.0,181.0,129.0,593.0,49.0,40.0,5.0,49.0,0.0,173.0,153.0,234.0,415.0,5.0,10.0,217.0,17.0,23.0,71.0,306.0,91.0,67.0,8.29,11.42,29.39,6.0,7.0,36.0,593.0,464.0,464.0,4.0,8.58,9.72,9.72,47.96,47.96,45.89,60.57,7.27,3.41,8.47,1.86,18.0,38.98,6.88,7.27,6.88,59.0,19.0,8.0,86.0,8.0,6.0,1.0,7.0,0.0,5.0,52.0,51.0,70.0,8.0,18.0,149.0,35.0,21.0,50.0,46.0,21.0,11.0,1.58,2.75,2.95,3.0,3.0,2.0,86.0,78.0,78.0,42.0,0.77,1.23,1.23,6.82,6.82,6.75
LAK,2025,LAK,LAK,Team Level,other,82,0.54,0.47,0.43,10947.0,145.22,39.5,10.33,24.31,4.95,74.04,47.87,35.89,39.5,35.89,118.0,83.0,102.0,303.0,30.0,12.0,5.0,9.0,2.0,84.0,64.0,88.0,171.0,6.0,15.0,144.0,35.0,19.0,48.0,96.0,47.0,58.0,3.67,5.56,30.28,6.0,4.0,20.0,303.0,201.0,201.0,16.0,2.91,4.6,4.6,37.81,37.81,34.52,193.58,33.99,14.71,37.12,6.54,105.21,67.44,31.07,33.99,31.07,179.0,86.0,77.0,342.0,39.0,10.0,1.0,37.0,0.0,100.0,79.0,140.0,226.0,7.0,17.0,156.0,29.0,20.0,36.0,138.0,84.0,43.0,5.59,10.27,18.13,7.0,13.0,19.0,342.0,265.0,265.0,5.0,4.36,2.41,2.41,35.95,35.95,33.05
LAK,2025,LAK,LAK,Team Level,all,82,0.51,0.52,0.52,301673.0,2637.5,248.96,183.89,637.45,89.58,1426.73,1039.39,235.49,248.92,235.47,2298.0,1328.0,1480.0,5106.0,220.0,296.0,24.0,501.0,7.0,1323.0,1279.0,2078.0,3406.0,272.0,599.0,2330.0,1649.0,367.0,1286.0,2731.0,636.0,259.0,79.31,77.23,92.41,86.0,75.0,59.0,5100.64,3626.0,3626.37,581.0,40.9,57.0,57.0,232.86,233.11,225.22,2494.75,238.87,173.57,599.9,84.85,1331.95,976.86,226.11,240.04,227.22,2230.0,1176.0,1310.0,4716.0,238.0,264.0,21.0,504.0,3.0,1172.0,1225.0,1992.0,3168.0,258.0,574.0,2353.0,1621.0,382.0,1210.0,2499.0,681.0,226.0,75.01,83.57,80.28,91.0,83.0,64.0,4736.48,3406.0,3420.33,518.0,39.29,49.92,49.92,228.24,229.39,221.73
LAK,2025,LAK,LAK,Team Level,5on5,82,0.52,0.52,0.52,248165.0,2104.35,167.04,139.3,530.16,70.96,1134.96,845.57,161.06,167.0,161.04,1808.0,1080.0,1227.0,4115.0,152.0,230.0,16.0,430.0,4.0,1044.0,1028.0,1656.0,2736.0,237.0,526.0,1810.0,1546.0,309.0,1124.0,2239.0,500.0,149.0,65.21,61.09,40.74,69.0,61.0,22.0,4109.64,2888.0,2888.37,525.0,29.02,42.45,42.45,153.61,153.87,151.29,1925.99,151.86,127.64,485.51,65.34,1039.04,775.59,146.99,153.04,148.1,1697.0,948.0,1122.0,3767.0,140.0,199.0,14.0,391.0,3.0,944.0,968.0,1557.0,2505.0,231.0,513.0,1809.0,1532.0,308.0,1046.0,2045.0,483.0,117.0,60.27,59.86,31.73,75.0,51.0,14.0,3787.48,2645.0,2659.33,467.0,26.56,36.28,36.32,142.12,143.27,141.01
LAK,2025,LAK,LAK,Team Level,4on5,82,0.11,0.15,0.17,21453.0,59.02,5.65,3.3,9.01,2.08,20.96,42.0,5.51,5.65,5.51,66.0,17.0,7.0,90.0,6.0,4.0,1.0,8.0,0.0,10.0,55.0,60.0,77.0,10.0,22.0,181.0,41.0,26.0,37.0,61.0,13.0,9.0,1.69,1.65,2.31,2.0,2.0,2.0,90.0,83.0,83.0,34.0,0.76,0.81,0.81,5.61,5.61,5.53,308.32,46.64,27.99,67.04,10.9,166.62,87.81,41.8,46.64,41.8,291.0,116.0,101.0,508.0,53.0,48.0,5.0,67.0,0.0,117.0,122.0,238.0,354.0,12.0,26.0,216.0,14.0,16.0,77.0,253.0,95.0,59.0,7.1,11.13,28.42,7.0,16.0,30.0,508.0,407.0,407.0,4.0,7.63,10.55,10.51,43.76,43.76,41.3
LAK,2025,LAK,LAK,Team Level,5on4,82,0.85,0.86,0.84,21108.0,328.93,36.76,30.97,73.96,11.59,196.77,103.95,33.03,36.76,33.03,306.0,148.0,144.0,598.0,32.0,50.0,2.0,54.0,1.0,185.0,132.0,274.0,422.0,19.0,36.0,195.0,27.0,13.0,77.0,335.0,76.0,43.0,8.75,8.92,19.09,9.0,8.0,15.0,598.0,454.0,454.0,6.0,8.22,9.15,9.15,35.83,35.83,33.87,66.85,6.37,3.24,10.23,2.09,21.09,45.99,6.26,6.37,6.26,63.0,26.0,10.0,99.0,6.0,7.0,1.0,9.0,0.0,11.0,56.0,57.0,83.0,8.0,18.0,172.0,46.0,38.0,51.0,63.0,19.0,7.0,2.07,2.3,2.0,2.0,3.0,1.0,99.0,89.0,89.0,42.0,0.74,0.69,0.69,6.42,6.42,6.37
