team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,2025,TOR,TOR,Team Level,other,81,0.47,0.43,0.47,10773.0,160.05,40.82,10.77,28.5,5.28,74.33,53.3,37.22,40.82,37.22,136.0,77.0,49.0,262.0,38.0,23.0,1.0,18.0,1.0,56.0,77.0,98.0,175.0,5.0,10.0,138.0,26.0,17.0,40.0,98.0,53.0,62.0,4.34,6.33,30.15,7.0,8.0,23.0,262.0,213.0,213.0,9.0,3.18,8.11,8.11,35.9,35.9,34.05,178.17,45.71,11.97,30.45,5.76,85.66,61.45,42.63,45.71,42.63,161.0,80.0,100.0,341.0,39.0,9.0,2.0,20.0,0.0,90.0,83.0,122.0,202.0,4.0,6.0,92.0,25.0,22.0,27.0,111.0,69.0,61.0,5.18,8.77,31.76,5.0,8.0,26.0,341.0,241.0,241.0,14.0,3.54,3.35,3.35,45.9,45.9,43.14
TOR,2025,TOR,TOR,Team Level,all,81,0.46,0.45,0.45,296216.0,2407.34,236.75,165.18,577.99,80.06,1262.24,918.78,225.71,236.28,225.3,2139.0,1102.0,1074.0,4315.0,251.0,260.0,32.0,457.0,5.0,1049.0,1219.0,1888.0,2990.0,279.0,626.0,2474.0,1842.0,375.0,1310.0,2344.0,653.0,244.0,69.84,80.01,86.89,91.0,89.0,71.0,4281.28,3241.0,3222.87,618.0,36.98,50.62,50.62,223.1,222.78,217.34,2902.97,280.5,201.5,699.1,96.97,1567.29,1122.65,267.55,282.51,269.44,2625.0,1343.0,1367.0,5335.0,292.0,288.0,30.0,544.0,5.0,1432.0,1407.0,2333.0,3676.0,250.0,570.0,2081.0,1469.0,381.0,1262.0,2988.0,693.0,287.0,90.08,85.64,104.78,121.0,96.0,75.0,5402.6,3968.0,4008.73,589.0,45.1,59.87,61.19,264.41,266.02,257.9
TOR,2025,TOR,TOR,Team Level,5on5,81,0.46,0.45,0.45,244173.0,1886.81,152.57,123.02,473.55,62.6,999.54,740.71,147.19,152.1,146.76,1645.0,907.0,882.0,3434.0,170.0,189.0,25.0,378.0,4.0,841.0,970.0,1475.0,2382.0,259.0,586.0,1946.0,1751.0,307.0,1172.0,1938.0,487.0,127.0,56.77,60.5,35.31,79.0,63.0,28.0,3400.28,2552.0,2533.87,570.0,25.66,34.09,34.09,144.15,143.83,141.58,2264.68,181.02,148.67,570.54,75.44,1226.61,901.72,174.78,183.02,176.68,2035.0,1069.0,1119.0,4223.0,207.0,215.0,21.0,453.0,4.0,1108.0,1117.0,1828.0,2897.0,234.0,539.0,1637.0,1408.0,312.0,1140.0,2436.0,505.0,163.0,72.4,62.9,45.72,107.0,76.0,24.0,4290.6,3104.0,3144.73,543.0,30.92,42.49,43.11,168.82,170.43,167.32
TOR,2025,TOR,TOR,Team Level,4on5,81,0.1,0.11,0.12,22148.0,58.3,5.49,2.96,8.66,1.94,18.67,39.28,5.39,5.49,5.39,66.0,11.0,6.0,83.0,6.0,2.0,0.0,4.0,0.0,15.0,50.0,60.0,71.0,7.0,14.0,202.0,50.0,34.0,40.0,53.0,16.0,8.0,1.61,1.82,2.06,2.0,2.0,2.0,83.0,77.0,77.0,36.0,0.69,0.23,0.23,5.94,5.94,5.91,409.29,48.72,38.09,90.05,14.16,238.74,125.23,45.2,48.72,45.2,375.0,180.0,141.0,696.0,39.0,62.0,7.0,67.0,1.0,225.0,161.0,336.0,516.0,8.0,14.0,197.0,13.0,13.0,62.0,392.0,106.0,57.0,10.85,12.52,25.34,7.0,9.0,23.0,696.0,555.0,555.0,7.0,10.02,13.28,13.98,44.76,44.76,42.52
TOR,2025,TOR,TOR,Team Level,5on4,81,0.88,0.88,0.85,19122.0,302.17,37.85,28.43,67.29,10.24,169.69,85.5,35.91,37.85,35.91,292.0,107.0,137.0,536.0,37.0,46.0,6.0,57.0,0.0,137.0,122.0,255.0,362.0,8.0,16.0,188.0,15.0,17.0,58.0,255.0,97.0,47.0,7.12,11.36,19.38,3.0,16.0,18.0,536.0,399.0,399.0,3.0,7.44,8.19,8.19,37.12,37.12,35.79,50.83,5.06,2.76,8.05,1.61,16.28,34.25,4.94,5.06,4.94,54.0,14.0,7.0,75.0,7.0,2.0,0.0,4.0,0.0,9.0,46.0,47.0,61.0,4.0,11.0,155.0,23.0,34.0,33.0,49.0,13.0,6.0,1.65,1.45,1.96,2.0,3.0,2.0,75.0,68.0,68.0,25.0,0.63,0.75,0.75,4.93,4.93,4.92
CGY,2025,CGY,CGY,Team Level,other,80,0.44,0.44,0.41,12210.0,127.61,29.88,8.6,22.74,4.31,64.05,43.43,27.58,29.88,27.58,113.0,60.0,74.0,247.0,24.0,12.0,7.0,18.0,2.0,57.0,60.0,89.0,149.0,6.0,14.0,130.0,36.0,23.0,38.0,79.0,51.0,43.0,3.09,6.27,20.52,0.0,5.0,19.0,247.0,173.0,173.0,16.0,2.51,4.94,5.32,27.08,27.08,25.61,182.27,38.12,12.99,34.16,6.03,95.01,58.69,34.6,38.12,34.6,166.0,79.0,70.0,315.0,35.0,18.0,0.0,31.0,1.0,91.0,69.0,131.0,210.0,5.0,12.0,156.0,22.0,26.0,25.0,119.0,77.0,49.0,5.31,9.96,22.85,2.0,9.0,24.0,315.0,245.0,245.0,7.0,3.77,5.1,5.1,36.8,36.8,34.37
CGY,2025,CGY,CGY,Team Level,all,80,0.47,0.49,0.48,291307.0,2461.14,228.06,167.32,600.05,82.98,1303.15,962.5,218.39,228.05,218.38,2255.0,1090.0,1345.0,4690.0,204.0,251.0,33.0,459.0,6.0,1146.0,1279.0,2051.0,3141.0,286.0,647.0,2248.0,1631.0,362.0,1315.0,2509.0,593.0,243.0,72.07,74.38,81.63,77.0,70.0,57.0,4672.47,3345.0,3343.74,648.0,37.18,53.76,54.19,210.99,210.95,205.92,2620.72,261.82,183.5,627.75,88.9,1394.84,1020.18,247.62,263.01,248.74,2388.0,1189.0,1305.0,4882.0,252.0,310.0,30.0,532.0,9.0,1184.0,1290.0,2136.0,3325.0,278.0,631.0,2317.0,1578.0,421.0,1266.0,2569.0,715.0,293.0,77.61,88.05,96.16,86.0,87.0,79.0,4915.89,3577.0,3588.71,561.0,41.24,62.34,62.39,240.68,241.83,234.81
CGY,2025,CGY,CGY,Team Level,5on5,80,0.48,0.49,0.49,236179.0,1956.04,156.22,126.86,500.32,66.46,1038.8,776.4,150.81,156.21,150.8,1793.0,873.0,1111.0,3777.0,142.0,193.0,17.0,370.0,3.0,931.0,1027.0,1651.0,2524.0,241.0,553.0,1741.0,1543.0,295.0,1165.0,2068.0,446.0,152.0,58.51,56.03,41.68,72.0,49.0,21.0,3759.47,2666.0,2664.74,600.0,26.46,37.84,37.92,144.69,144.65,142.56,2019.13,172.42,133.74,507.57,68.75,1070.71,807.82,165.45,173.6,166.58,1820.0,941.0,1102.0,3863.0,173.0,234.0,21.0,437.0,7.0,914.0,996.0,1647.0,2588.0,250.0,575.0,1796.0,1514.0,354.0,1126.0,2079.0,502.0,180.0,62.15,61.43,48.83,79.0,64.0,30.0,3896.89,2761.0,2772.71,514.0,28.0,44.23,44.28,156.13,157.28,154.29
CGY,2025,CGY,CGY,Team Level,4on5,80,0.14,0.16,0.16,21765.0,72.54,6.94,3.52,10.65,2.24,21.92,49.74,6.78,6.94,6.78,74.0,21.0,21.0,116.0,10.0,7.0,2.0,8.0,0.0,15.0,55.0,64.0,85.0,11.0,24.0,182.0,37.0,28.0,30.0,65.0,23.0,7.0,1.91,3.05,1.98,3.0,5.0,2.0,116.0,95.0,95.0,25.0,0.8,1.32,1.32,6.42,6.42,6.38,354.88,44.31,33.12,76.72,11.95,207.78,110.11,40.66,44.31,40.66,334.0,150.0,126.0,610.0,41.0,54.0,8.0,58.0,1.0,164.0,166.0,293.0,443.0,12.0,22.0,191.0,12.0,15.0,70.0,318.0,111.0,55.0,8.61,13.4,22.3,4.0,14.0,23.0,610.0,484.0,484.0,4.0,8.65,12.22,12.22,40.74,40.74,39.16
CGY,2025,CGY,CGY,Team Level,5on4,80,0.83,0.85,0.83,21153.0,304.95,35.03,28.34,66.35,9.97,178.38,92.93,33.22,35.03,33.22,275.0,136.0,139.0,550.0,28.0,39.0,7.0,63.0,1.0,143.0,137.0,247.0,383.0,28.0,56.0,195.0,15.0,16.0,82.0,297.0,73.0,41.0,8.57,9.03,17.44,2.0,11.0,15.0,550.0,411.0,411.0,7.0,7.4,9.66,9.63,32.8,32.8,31.38,64.43,6.98,3.64,9.31,2.17,21.33,43.57,6.91,6.98,6.91,68.0,19.0,7.0,94.0,3.0,4.0,1.0,6.0,0.0,15.0,59.0,65.0,84.0,11.0,22.0,174.0,30.0,26.0,45.0,53.0,25.0,9.0,1.53,3.27,2.17,1.0,0.0,2.0,94.0,87.0,87.0,36.0,0.82,0.78,0.78,7.02,7.02,6.99
